,tweet date,user,name,verified,user created at,followers,following,text
0,2021-09-08 04:22:12,BlockchainNG,BlockchainNigeria🇳🇬,False,2017-04-11 10:30:06,4866,5090,"Here are some of our speakers at the upcoming LagosBlockCrypto2021 Conference.
11-12 Sept
Civic Center VI Lagos
Tim… https://t.co/VIDG5sFplx"
1,2021-09-08 04:22:09,Rizwan24770683,Rizwan,False,2021-09-01 11:28:12,0,21,"World most famous tea ever . In Pakistan this cup is called token .
Taste of this tea can be felt in India.… https://t.co/3SfkFzv6Dy"
2,2021-09-08 04:22:07,mdsamad7789,MD SAMAD AHMED,False,2021-08-07 08:10:15,30,625,@BearlyDefi The project is implemented professionally and has a clear development plan. Made by a very professional… https://t.co/9T82GsxRod
3,2021-09-08 04:22:06,shihabm170,Md Mahabubul Hasan,False,2021-05-31 14:46:20,42,1349,"@CovCoin Great opportunity
Especially, Thanks for sharing a great project
Hope this project reach their goal very s… https://t.co/H5k1HfjqVj"
4,2021-09-08 04:21:59,TakeshiShinji90,Takeshi Shinji,False,2019-08-21 07:50:59,32,66,"Bitcoin regains confidence after Glitzkoin announces that, future trading platforms could include BTC as mode of pa… https://t.co/phJwMFqVsd"
5,2021-09-08 04:21:58,babyelontoken,BabyElon News,False,2021-05-14 20:29:32,155,399,"Crypto Rookie, El Salvador, Makes Veteran Move

#ElSalvador #bitcoin #cryptonews 
https://t.co/35YBL6GGQ7"
6,2021-09-08 04:21:54,BabyJesus816,BabyJesus,False,2020-12-20 16:29:23,116,156,@allyATL @SafeAffinity @dynxt @SuperFuelToken @EverRise @MiniDOGEToken @dxsale #Safearn 👈 This is the one! Look dee… https://t.co/jDyGLbcPD0
7,2021-09-08 04:21:53,BamBam4h,Bam Bam4h,False,2021-05-22 03:05:37,3,120,"I know this is a very powerful project. There will be many more improvements ahead.
@aliakber36
@Jilal247… https://t.co/XlJ8GDlECY"
8,2021-09-08 04:21:53,GeethMadusank11,Geeth Madusanka,False,2021-02-27 04:38:49,32,970,"@LuckyUnicornNFT Perfect &amp; Wonderfully Project 
@SLGEEKBRO 
@KalingaEkanaya3 
@Ramishkasahan99 
@Lasantharangan1… https://t.co/H68f600AnG"
9,2021-09-08 04:21:52,btcnewsio,E BTC (btcnews.io) 🟠,False,2019-01-07 15:58:34,2404,807,BITCOIN’S $10K DAILY PLUNGE WAS MAINLY FUTURES MARKET-DRIVEN (ANALYSIS) #bitcoin #btc
10,2021-09-08 04:21:51,Bitcoin8News,Bitcoin updates,False,2021-01-09 15:26:06,2720,3,"The $BTC price is at $46656.38 right now.
🟢 Compared to the last tweet, the price has increased by $241.62 (0.52%).… https://t.co/MGDO4sXKEg"
11,2021-09-08 04:21:50,vonechain,Vonechain,False,2020-02-17 09:17:39,30,107,"#Bitcoin #drops below $43,000 on El Salvador's #first day #using it
https://t.co/5p0mziyLZV"
12,2021-09-08 04:21:47,kishan172000,Mr. K,False,2020-05-03 07:46:39,16,999,"@envoynetwork This project looks very interesting.I am very interested in this project, and I will support this pro… https://t.co/k58qqTaOuF"
13,2021-09-08 04:21:46,wyatt_yido,George Wyatt YidO,False,2019-02-26 08:15:35,312,5005,"You don't need huge capital to start earning weekly, with a little $1,000 I can assure you of earning $22,000 weekl… https://t.co/mIK1kMELQS"
